0.068,0,0.009248
0.739,0,1.092242
0.748,0,1.119008
0.294,0,0.172872
0.408,0,0.332928
0.181,0,0.065522
0.054,0,0.005832
0.315,0,0.19845
0.232,0,0.107648
0.434,0,0.376712
0.609,0,0.741762
0.482,0,0.464648
0.735,0,1.08045
0.928,0,1.722368
0.424,0,0.359552
0.381,0,0.290322
0.126,0,0.031752
0.694,0,0.963272
0.142,0,0.040328
0.985,0,1.94045
0.619,0,0.766322
0.489,0,0.478242
0.889,0,1.580642
0.288,0,0.165888
0.392,0,0.307328
0.401,0,0.321602
0.509,0,0.518162
0.367,0,0.269378
0.048,0,0.004608
0.122,0,0.029768
0.208,0,0.086528
0.685,0,0.93845
0.351,0,0.246402
0.119,0,0.028322
0.484,0,0.468512
0.616,0,0.758912
0.635,0,0.80645
0.536,0,0.574592
0.174,0,0.060552
0.66,0,0.8712
0.664,0,0.881792
0.397,0,0.315218
0.766,0,1.173512
0.623,0,0.776258
0.662,0,0.876488
0.874,0,1.527752
0.204,0,0.083232
0.351,0,0.246402
0.601,0,0.722402
0.939,0,1.763442
0.029,0,0.001682
0.539,0,0.581042
0.713,0,1.016738
0.419,0,0.351122
0.576,0,0.663552
0.611,0,0.746642
0.751,0,1.128002
0.496,0,0.492032
0.603,0,0.727218
0.692,0,0.957728
0.21,0,0.0882
0.244,0,0.119072
0.098,0,0.019208
0.506,0,0.512072
0.472,0,0.445568
0.996,0,1.984032
0.338,0,0.228488
0.147,0,0.043218
0.627,0,0.786258
0.729,0,1.062882
0.697,0,0.971618
0.866,0,1.499912
0.271,0,0.146882
0.836,0,1.397792
0.621,0,0.771282
0.753,0,1.134018
0.631,0,0.796322
0.728,0,1.059968
0.924,0,1.707552
0.085,0,0.01445
0.704,0,0.991232
0.476,0,0.453152
0.259,0,0.134162
0.885,0,1.56645
0.44,0,0.3872
0.249,0,0.124002
0.779,0,1.213682
0.047,0,0.004418
0.891,0,1.587762
0.329,0,0.216482
0.472,0,0.445568
0.986,0,1.944392
0.478,0,0.456968
