0.457,0.457,0.626547
0.897,0.897,2.413827
0.515,0.515,0.795675
0.475,0.475,0.676875
0.704,0.704,1.486848
0.241,0.241,0.174243
0.597,0.597,1.069227
0.349,0.349,0.365403
0.59,0.59,1.0443
0.322,0.322,0.311052
0.77,0.77,1.7787
0.808,0.808,1.958592
0.214,0.214,0.137388
0.573,0.573,0.984987
0.719,0.719,1.550883
0.401,0.401,0.482403
0.213,0.213,0.136107
0.888,0.888,2.365632
0.229,0.229,0.157323
0.231,0.231,0.160083
0.047,0.047,0.006627
0.25,0.25,0.1875
0.911,0.911,2.489763
0.321,0.321,0.309123
0.583,0.583,1.019667
0.334,0.334,0.334668
0.886,0.886,2.354988
0.702,0.702,1.478412
0.339,0.339,0.344763
0.389,0.389,0.453963
0.578,0.578,1.002252
0.371,0.371,0.412923
0.752,0.752,1.696512
0.758,0.758,1.723692
0.35,0.35,0.3675
0.989,0.989,2.934363
0.406,0.406,0.494508
0.455,0.455,0.621075
0.175,0.175,0.091875
0.622,0.622,1.160652
0.576,0.576,0.995328
0.954,0.954,2.730348
0.107,0.107,0.034347
0.638,0.638,1.221132
0.499,0.499,0.747003
0.786,0.786,1.853388
0.644,0.644,1.244208
0.502,0.502,0.756012
0.931,0.931,2.600283
0.57,0.57,0.9747
0.931,0.931,2.600283
0.858,0.858,2.208492
0.158,0.158,0.074892
0.011,0.011,0.000363
0.276,0.276,0.228528
0.527,0.527,0.833187
0.037,0.037,0.004107
0.88,0.88,2.3232
0.926,0.926,2.572428
0.875,0.875,2.296875
0.203,0.203,0.123627
0.274,0.274,0.225228
0.614,0.614,1.130988
0.993,0.993,2.958147
0.057,0.057,0.009747
0.592,0.592,1.051392
0.648,0.648,1.259712
0.599,0.599,1.076403
0.523,0.523,0.820587
0.616,0.616,1.138368
0.045,0.045,0.006075
0.398,0.398,0.475212
0.268,0.268,0.215472
0.92,0.92,2.5392
0.734,0.734,1.616268
0.734,0.734,1.616268
0.919,0.919,2.533683
0.264,0.264,0.209088
0.009,0.009,0.000243
0.546,0.546,0.894348
0.988,0.988,2.928432
0.153,0.153,0.070227
0.088,0.088,0.023232
0.479,0.479,0.688323
0.049,0.049,0.007203
0.608,0.608,1.108992
0.431,0.431,0.557283
0.396,0.396,0.470448
0.49,0.49,0.7203
0.387,0.387,0.449307
0.085,0.085,0.021675
0.139,0.139,0.057963
0.56,0.56,0.9408
0.624,0.624,1.168128
0.139,0.139,0.057963
0.642,0.642,1.236492
0.09,0.09,0.0243
0.46,0.46,0.6348
0.699,0.699,1.465803
0.17,0.17,0.0867
